category,reportNumber,displayOrder,reportDesc
Alfalfa Hay,PNW0611,1,A nutrient management guide for both dryland and irrigated conventional alfalfa grown in the Inland Northwest region.
Alfalfa Hay,EB2039E,2,"A comprehensive crop guide covering aspects of organic alfalfa production. This publication is a companion publication to PNW 0611, which covers conventional alfalfa production."
Alfalfa Hay,CIS 447,3,University of Idaho fertilizer guide for alfalfa grown in northern Idaho.
Apple,EM119E,1,A crop guide for tree fruit commonly grown in Central Washington orchards.
Apricot,EM119E,1,A crop guide for tree fruit commonly grown in Central Washington orchards.
Asparagus,EMPTY,1,
assistance,WACD,1,"Conservation Districts provide local technical and financial assistance for soil health, water quality, and conservation practices. They are non-regulatory bodies, working directly with farmers and landowners to implement sustainable management strategies tailored to your specific needs and conditions. Conservation Districts can be a resource for learning about nutrient and irrigation water management practices and resources in your area."
assistance,NRCS,2,"The Natural Resources Conservation Service offers technical expertise, conservation planning, and cost-share programs to help agricultural producers improve soil health and productivity. NRCS provides science-based solutions and financial assistance for implementing conservation practices on working lands."
assistance,CCA,3,"Certified Crop Advisers (CCAs) are professionals qualified to provide expert guidance on nutrient management and crop production practices. CCAs can help develop a nutrient management plan tailored to your operation, interpret soil test results, and recommend appropriate fertilizer rates and timing based on your specific crops and yield goals."
Barley,CIS 954,1,Fertilizer guide for winter barley based on research from the University of Idaho and Washington State University.
Barley,CIS 920,2,Fertilizer guide for spring barley based on research from the University of Idaho and Washington State University.
Blueberry,EM 8918,1,A nutrient management guide written by Oregon State University for northern highbush blueberries grown in western Oregon.
Blueberry,CIS 815,2,"A fertilizer guide from the University of Idaho focused on blueberries, raspberries, and strawberries grown in northern Idaho."
Cherry,EM119E,1,A crop guide for tree fruit commonly grown in Central Washington orchards.
"Corn, Grain",PNW 615,1,Crop guide for field corn grown for seed or silage in the Inland Pacific Northwest. Contains detailed guidance for nutrient management.
"Corn, Silage",PNW 615,1,Crop guide for field corn grown for seed or silage in the Inland Pacific Northwest. Contains detailed guidance for nutrient management.
"Corn, Silage",EM 8832,2,A guide to post-harvest nitrogen testing. Helpful for understanding post-harvest fall soil test values for locations west of the Cascades.
"Corn, Sweet",FG 62,1,A fertilizer guide from Oregon State University focused on sweet corn grown in Oregon east of the Cascades.
covercrop,CCSS,1,"The Cover Crop Selector Tool helps users find cover crops appropriate for their growing conditions and goals. Select a location in tool to receive site-appropriate recommendations for cover crops that fit, or browse a large database of cover crops and learn about their characteristics."
covercrop,EM 9235,2,This extension publication helps you calculate the contribution of plant available nitrogen (PAN) from a cover crop to a subsequent crop. Also includes calculations for determining PAN from organic materials and compost.
Cucumber,FG 68,1,A fertilizer guide from Oregon State University specific to cucurbits such as cucumbers.
Cucumber,8050,2,A crop guide from the University of California on cucumber production.
"Grape, Juice",EM111E,1,A nutrient management guide for juice and wine grapes grown in Washington state. Includes both pre- and post-establishment nutrient guidelines.
"Grape, Wine",EM111E,1,A nutrient management guide for wine and juice grapes grown in Washington state. Includes both pre- and post-establishment nutrient guidelines.
Grass Hay,PNW 614,1,"A comprehensive PNW-guide for pasture management in the region. This 214 page guide covers a wide range of topics relevant to regional pasture management, including nutrient management."
Grass Hay,PNW708,2,A comprehensive guide for pasture management in the Inland Pacific Northwest. This 141 page guide provides tailored management advice specific to the growing characteristics of your Major Land Resource Area (MLRA).
Grass Hay,EB2004,3,A crop guide specific to orchard grass grown in the Columbia Basin.
Hazelnut/Filbert,EM 9080,1,A nutrition guide for hazelnuts by Oregon State University. Contains pre- and post-establishment nutrient guidelines.
Hops,FG 79,1,"A crop guide for hops in the Willamette Valley. Please note, there is no current extension publications for hops in the Yakima Valley."
irrigation,AGNET,1,WSU's AgWeathernet provides real-time weather data from a network of stations located across the state. Their site hosts a range of agricultural models that can inform crop management and irrigation.
irrigation,IRRSCHED,2,"Mobile-friendly irrigation scheduling tool that helps you irrigate at the right times and amounts. (A browser-based version can be found on WSU's AgWeatherNet site, under Irrigation models)."
irrigation,IRRPNW,3,"Comprehensive irrigation resources for Pacific Northwest agriculture. Includes helpful calculators, tutorials, and data on crop-specific irrigation needs."
link,PNW708,1,
link,EM-9224,1,
link,EM 1478,1,
link,PINDEX,1,This NRCS guide helps you understand proper phosphorus management steps considering your current phosphorus levels and site conditions. This guide may be best completed with the help of a Technical Service Provider (TSP).
link,USDAFERT,1,
link,WASHI,1,
link,YAKNIT,1,
link,WASHIGAL,1,
link,WASHIPKG,1,
link,SOILSPKG,1,
link,DIRTDATA,1,
link,DSSAPP,1,
link,WaCSE,1,
manure,PNW533,1,Guidelines for using manure and organic amendments effectively for crop use while protecting water quality. Includes resources to calculate the nitrogen contribution form manure and other organic sources.
Mint,EM 9018-E,1,A fertilizer guide from Oregon State University focused on peppermint grown in western Oregon.
